Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Fungal infection,itching:1,skin rash:1,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,,skin rash:1,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,skin rash:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,skin rash:1,nodal skin eruptions:1,,,,
Fungal infection,,skin rash:1,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,nodal skin eruptions:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,skin rash:1,dischromic  patches:1,,,,
Fungal infection,itching:1,,skin rash:1,nodal skin eruptions:1,,,,
Fungal infection,itching:1,skin rash:1,nodal skin eruptions:1,dischromic  patches:1,,,,
Allergy,chills:1,shivering:1,continuous sneezing:1,watering from eyes:1,,,,
Allergy,chills:1,shivering:1,,watering from eyes:1,,,,
Allergy,chills:1,,continuous sneezing:1,watering from eyes:1,,,,
Allergy,,shivering:1,continuous sneezing:1,watering from eyes:1,,,,
Allergy,chills:1,shivering:1,,continuous sneezing:1,,,,
Allergy,chills:1,shivering:1,,watering from eyes:1,,,,
Allergy,chills:1,,continuous sneezing:1,watering from eyes:1,,,,
Allergy,,shivering:1,continuous sneezing:1,watering from eyes:1,,,,
Allergy,chills:1,shivering:1,,continuous sneezing:1,,,,
Allergy,chills:1,shivering:1,continuous sneezing:1,watering from eyes:1,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,cough:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,acidity:1,cough:1,stomach pain:2,vomiting:2,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,cough:1,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,acidity:1,cough:1,ulcers on tongue:1,vomiting:2,,,,
GERD,cough:1,stomach pain:2,ulcers on tongue:1,vomiting:2,,,,
GERD,acidity:1,cough:1,stomach pain:2,vomiting:2,,,,
GERD,acidity:1,stomach pain:2,ulcers on tongue:1,cough:1,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,nausea:1,loss of appetite:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,loss of appetite:1,yellowish skin:1,,,,
Chronic cholestasis,itching:1,nausea:1,loss of appetite:1,vomiting:2,,,,
Chronic cholestasis,itching:1,loss of appetite:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Chronic cholestasis,itching:1,nausea:1,yellowish skin:1,vomiting:2,,,,
Drug Reaction,itching:1,skin rash:1,burning micturition:1,stomach pain:2,,,,
Drug Reaction,itching:1,burning micturition:1,stomach pain:2,spotting  urination:1,,,,
Drug Reaction,itching:1,skin rash:1,burning micturition:1,spotting  urination:1,,,,
Drug Reaction,itching:1,skin rash:1,stomach pain:2,spotting  urination:1,,,,
Drug Reaction,itching:1,skin rash:1,burning micturition:1,stomach pain:2,,,,
Drug Reaction,skin rash:1,burning micturition:1,stomach pain:2,spotting  urination:1,,,,
Drug Reaction,itching:1,burning micturition:1,stomach pain:2,spotting  urination:1,,,,
Drug Reaction,itching:1,skin rash:1,burning micturition:1,spotting  urination:1,,,,
Drug Reaction,itching:1,skin rash:1,stomach pain:2,spotting  urination:1,,,,
Drug Reaction,itching:1,skin rash:1,burning micturition:1,stomach pain:2,,,,
Peptic ulcer diseae,abdominal pain:2,passage of gases:1,loss of appetite:1,vomiting:2,,,,
Peptic ulcer diseae,abdominal pain:2,indigestion:1,passage of gases:1,vomiting:2,,,,
Peptic ulcer diseae,abdominal pain:2,indigestion:1,loss of appetite:1,passage of gases:1,,,,
Peptic ulcer diseae,abdominal pain:2,passage of gases:1,loss of appetite:1,vomiting:2,,,,
Peptic ulcer diseae,abdominal pain:2,indigestion:1,passage of gases:1,vomiting:2,,,,
Peptic ulcer diseae,passage of gases:1,indigestion:1,loss of appetite:1,vomiting:2,,,,
Peptic ulcer diseae,abdominal pain:2,indigestion:1,loss of appetite:1,vomiting:2,,,,
Peptic ulcer diseae,abdominal pain:2,indigestion:1,loss of appetite:1,vomiting:2,,,,
Peptic ulcer diseae,abdominal pain:2,indigestion:1,loss of appetite:1,vomiting:2,,,,
Peptic ulcer diseae,abdominal pain:2,indigestion:1,loss of appetite:1,vomiting:2,,,,
AIDS,extra marital contacts:1,patches in throat:1,muscle wasting:1,high fever:2,,,,
AIDS,,extra marital contacts:1,patches in throat:1,high fever:2,,,,
AIDS,,extra marital contacts:1,muscle wasting:1,high fever:2,,,,
AIDS,extra marital contacts:1,,patches in throat:1,muscle wasting:1,,,,
AIDS,,patches in throat:1,muscle wasting:1,high fever:2,,,,
AIDS,extra marital contacts:1,patches in throat:1,muscle wasting:1,high fever:2,,,,
AIDS,extra marital contacts:1,patches in throat:1,muscle wasting:1,high fever:2,,,,
AIDS,,extra marital contacts:1,patches in throat:1,high fever:2,,,,
AIDS,,extra marital contacts:1,muscle wasting:1,high fever:2,,,,
AIDS,,patches in throat:1,muscle wasting:1,high fever:2,,,,
Diabetes ,fatigue:1,weight loss:1,restlessness:1,lethargy:1,,,,
Diabetes ,fatigue:1,weight loss:1,restlessness:1,lethargy:1,,,,
Diabetes ,irregular sugar level:1,restlessness:1,weight loss:1,lethargy:1,,,,
Diabetes ,irregular sugar level:1,fatigue:1,restlessness:1,lethargy:1,,,,
Diabetes ,irregular sugar level:1,fatigue:1,weight loss:1,lethargy:1,,,,
Diabetes ,irregular sugar level:1,fatigue:1,weight loss:1,restlessness:1,,,,
Diabetes ,fatigue:1,weight loss:1,restlessness:1,lethargy:1,,,,
Diabetes ,fatigue:1,weight loss:1,restlessness:1,lethargy:1,,,,
Diabetes ,fatigue:1,weight loss:1,restlessness:1,lethargy:1,,,,
Diabetes ,fatigue:1,weight loss:1,restlessness:1,lethargy:1,,,,
Gastroenteritis,dehydration:1,sunken eyes:1,diarrhoea:1,vomiting:2,,,,
Gastroenteritis,dehydration:1,sunken eyes:1,diarrhoea:1,vomiting:2,,,,
Gastroenteritis,dehydration:1,sunken eyes:1,,diarrhoea:1,,,,
Gastroenteritis,dehydration:1,diarrhoea:1,,vomiting:2,,,,
Gastroenteritis,,sunken eyes:1,diarrhoea:1,vomiting:2,,,,
Gastroenteritis,dehydration:1,sunken eyes:1,,vomiting:2,,,,
Gastroenteritis,dehydration:1,sunken eyes:1,diarrhoea:1,vomiting:2,,,,
Gastroenteritis,dehydration:1,sunken eyes:1,,diarrhoea:1,,,,
Gastroenteritis,dehydration:1,diarrhoea:1,,vomiting:2,,,,
Gastroenteritis,,sunken eyes:1,diarrhoea:1,vomiting:2,,,,
Bronchial Asthma,breathlessness:3,fatigue:1,high fever:2,cough:1,,,,
Bronchial Asthma,family history:1,breathlessness:3,high fever:2,cough:1,,,,
Bronchial Asthma,family history:1,breathlessness:3,fatigue:1,high fever:2,,,,
Bronchial Asthma,family history:1,breathlessness:3,fatigue:1,cough:1,,,,
Bronchial Asthma,family history:1,fatigue:1,high fever:2,cough:1,,,,
Bronchial Asthma,breathlessness:3,fatigue:1,high fever:2,cough:1,,,,
Bronchial Asthma,breathlessness:3,fatigue:1,high fever:2,cough:1,,,,
Bronchial Asthma,breathlessness:3,fatigue:1,high fever:2,cough:1,,,,
Bronchial Asthma,family history:1,breathlessness:3,high fever:2,cough:1,,,,
Bronchial Asthma,family history:1,breathlessness:3,fatigue:1,high fever:2,,,,
Hypertension ,loss of balance:1,dizziness:1,chest pain:3,headache:1,,,,
Hypertension ,lack of concentration:1,loss of balance:1,dizziness:1,chest pain:3,,,,
Hypertension ,lack of concentration:1,loss of balance:1,dizziness:1,headache:1,,,,
Hypertension ,lack of concentration:1,loss of balance:1,chest pain:3,headache:1,,,,
Hypertension ,lack of concentration:1,dizziness:1,chest pain:3,headache:1,,,,
