Disease,Description,Causes
Fungal infection,A skin infection caused by fungi leading to itching redness and irritation,poor hygiene excessive sweating weak immunity contaminated surfaces
Allergy,An immune response to allergens causing sneezing itching swelling or rashes,dust pollen food allergens animal dander genetic factors
GERD,A digestive disorder where stomach acid flows back into esophagus causing heartburn,obesity overeating spicy food smoking alcohol
Chronic Cholestasis,A liver condition where bile flow is reduced causing itching and jaundice,liver damage bile duct obstruction infections medications
Drug Reaction,An unwanted reaction to medications causing rash swelling or breathing issues,allergic response overdose drug interaction
Peptic ulcer diseae,Open sores in stomach lining causing pain indigestion and discomfort,h pylori infection excessive painkiller use stress alcohol
AIDS,A chronic condition caused by HIV weakening immune system making body vulnerable to infections,hiv infection unsafe sex infected blood transfusion
Diabetes,A metabolic disorder causing high blood sugar due to insulin problems,genetics obesity poor diet lack of exercise
Gastroenteritis,Inflammation of stomach and intestines causing diarrhea vomiting and cramps,viral infection contaminated food water bacteria
Bronchial Asthma,A respiratory condition causing airway inflammation and breathing difficulty,allergens pollution cold air genetic factors
Hypertension,A condition with persistently high blood pressure affecting heart and vessels,high salt diet stress obesity lack of exercise genetics
Migraine,A neurological condition causing severe headache nausea and sensitivity to light,stress hormonal changes lack of sleep certain foods
Cervical Spondylosis,Degeneration of neck spine causing pain stiffness and reduced mobility,aging poor posture repetitive strain
Paralysis (brain hemorrhage),Loss of muscle function due to nerve damage affecting movement and sensation,stroke spinal cord injury nerve damage infections
Jaundice,A condition where skin and eyes turn yellow due to liver dysfunction,hepatitis alcohol liver disease bile blockage
Malaria,A mosquito borne disease causing fever chills and sweating,plasmodium parasite mosquito bites
Chicken pox,A viral infection causing itchy blisters rash and fever,varicella virus infection close contact
Dengue,A mosquito borne viral infection causing high fever joint pain and weakness,aedes mosquito bites viral infection
Typhoid,A bacterial infection causing prolonged fever weakness and abdominal pain,contaminated food water poor sanitation
Hepatitis A,A viral liver infection usually spread through contaminated food or water,hepatitis a virus poor hygiene
Hepatitis B,A serious liver infection caused by hepatitis B virus,hbv infection blood transmission unprotected sex
Hepatitis C,A liver infection that can become chronic leading to liver damage,hcv infection blood exposure needle sharing
Hepatitis D,A liver infection that occurs only in people infected with hepatitis B,hbv co infection
Hepatitis E,A waterborne liver infection causing inflammation and jaundice,contaminated water poor sanitation
Alcoholic Hepatitis,Liver inflammation due to excessive alcohol consumption,long term alcohol abuse
Tuberculosis,A bacterial infection mainly affecting lungs causing cough fever and weight loss,mycobacterium tuberculosis airborne transmission
Common Cold,A mild viral infection affecting nose and throat causing sneezing and cough,rhinovirus infection cold exposure
Pneumonia,A lung infection causing inflammation of air sacs leading to breathing difficulty,bacterial viral fungal infection
Dimorphic hemmorhoids(piles),Swollen veins in rectum causing pain bleeding and discomfort,chronic constipation straining obesity
Heart Attack,A life threatening condition where blood flow to heart is blocked,cholesterol buildup smoking hypertension diabetes
Varicose Veins,Enlarged twisted veins usually in legs due to poor circulation,prolonged standing obesity genetics
Hypothyroidism,A condition where thyroid gland produces insufficient hormones leading to fatigue,autoimmune disease iodine deficiency
Hyperthyroidism,A condition where thyroid produces excess hormones causing weight loss and anxiety,graves disease thyroid nodules
Hypoglycemia,Low blood sugar levels causing dizziness confusion and sweating,excess insulin skipping meals alcohol
Osteoarthristis,A joint disorder causing cartilage breakdown leading to pain and stiffness,aging obesity joint injury
Arthritis,Inflammation of joints causing pain swelling and reduced movement,autoimmune disease infection aging
(vertigo) Paroymsal  Positional Vertigo,A sensation of spinning causing dizziness and imbalance,inner ear problems infections head injury
Acne,A skin condition causing pimples due to clogged hair follicles,hormonal changes oily skin bacteria
Urinary Tract Infection,An infection in urinary system causing pain and burning sensation,bacterial infection poor hygiene dehydration
Psoriasis,A chronic autoimmune skin condition causing red scaly patches,immune system dysfunction genetic factors
Impetigo,A contagious bacterial skin infection causing red sores,staphylococcus infection poor hygiene
