Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection,, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection,itching,, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection,itching,, skin_rash, dischromic _patches,,,,
Fungal infection,itching,, skin_rash, nodal_skin_eruptions,,,,
Fungal infection,, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection,itching,, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection,itching,, skin_rash, dischromic _patches,,,,
Fungal infection,itching,, skin_rash, nodal_skin_eruptions,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,
Allergy, chills, shivering, continuous_sneezing, watering_from_eyes,,,,
Allergy, chills, shivering,, watering_from_eyes,,,,
Allergy, chills,, continuous_sneezing, watering_from_eyes,,,,
Allergy,, shivering, continuous_sneezing, watering_from_eyes,,,,
Allergy, chills, shivering,, continuous_sneezing,,,,
Allergy, chills, shivering,, watering_from_eyes,,,,
Allergy, chills,, continuous_sneezing, watering_from_eyes,,,,
Allergy,, shivering, continuous_sneezing, watering_from_eyes,,,,
Allergy, chills, shivering,, continuous_sneezing,,,,
Allergy, chills, shivering, continuous_sneezing, watering_from_eyes,,,,
GERD, acidity, stomach_pain, ulcers_on_tongue, vomiting,,,,
GERD, cough, stomach_pain, ulcers_on_tongue, vomiting,,,,
GERD, acidity, cough, stomach_pain, vomiting,,,,
GERD, acidity, stomach_pain, ulcers_on_tongue, cough,,,,
GERD, acidity, stomach_pain, ulcers_on_tongue, vomiting,,,,
GERD, acidity, stomach_pain, ulcers_on_tongue, vomiting,,,,
GERD, acidity, cough, ulcers_on_tongue, vomiting,,,,
GERD, cough, stomach_pain, ulcers_on_tongue, vomiting,,,,
GERD, acidity, cough, stomach_pain, vomiting,,,,
GERD, acidity, stomach_pain, ulcers_on_tongue, cough,,,,
Chronic cholestasis,itching, nausea, yellowish_skin, vomiting,,,,
Chronic cholestasis, nausea, loss_of_appetite, yellowish_skin, vomiting,,,,
Chronic cholestasis,itching, nausea, loss_of_appetite, yellowish_skin,,,,
Chronic cholestasis,itching, nausea, loss_of_appetite, vomiting,,,,
Chronic cholestasis,itching, loss_of_appetite, yellowish_skin, vomiting,,,,
Chronic cholestasis,itching, nausea, yellowish_skin, vomiting,,,,
Chronic cholestasis,itching, nausea, yellowish_skin, vomiting,,,,
