Disease,Diet_1,Diet_2,Diet_3,Diet_4,Diet_5
Fungal infection,probiotic yogurt,garlic,leafy vegetables,low sugar diet,plenty of water
Allergy,vitamin c foods,green tea,local honey,avoid allergens,hydration
GERD,low fat diet,oatmeal,banana,avoid spicy food,small frequent meals
Chronic Cholestasis,low fat diet,fruits,vegetables,avoid alcohol,whole grains
Drug Reaction,bland diet,rice,boiled vegetables,hydration,avoid irritants
Peptic ulcer diseae,banana,oatmeal,low acid foods,avoid caffeine,probiotics
AIDS,high protein diet,whole grains,fruits,vegetables,nutritional supplements
Diabetes,low sugar diet,whole grains,fiber rich foods,leafy greens,controlled carbs
Gastroenteritis,oral rehydration solution,banana,rice,toast,yogurt
Bronchial Asthma,omega 3 foods,fruits,vegetables,avoid cold foods,hydration
Hypertension,low sodium diet,fruits,vegetables,whole grains,low fat dairy
Migraine,magnesium rich foods,hydration,avoid caffeine,regular meals,leafy greens
Cervical Spondylosis,calcium rich foods,vitamin d foods,leafy greens,nuts,hydration
Paralysis,high protein diet,fruits,vegetables,whole grains,hydration
Jaundice,sugarcane juice,fruit juice,boiled vegetables,low fat diet,hydration
Malaria,high protein diet,fruits,vegetables,hydration,light meals
Chicken pox,soft diet,fruit juices,hydration,avoid spicy food,light meals
Dengue,fluid rich diet,coconut water,fruit juice,protein rich foods,hydration
Typhoid,boiled food,khichdi,banana,curd,hydration
Hepatitis A,low fat diet,fruit juices,boiled vegetables,hydration,avoid alcohol
Hepatitis B,balanced diet,fruits,vegetables,lean protein,hydration
Hepatitis C,low fat diet,whole grains,fruits,vegetables,hydration
Hepatitis D,balanced diet,lean protein,fruits,vegetables,hydration
Hepatitis E,low fat diet,boiled food,fruit juice,hydration,avoid alcohol
Alcoholic Hepatitis,low fat diet,vegetables,fruits,hydration,avoid alcohol
Tuberculosis,high protein diet,milk,eggs,fruits,vegetables
Common Cold,vitamin c foods,soup,herbal tea,hydration,light meals
Pneumonia,high protein diet,fruits,vegetables,hydration,light meals
Dimorphic hemmorhoids(piles),high fiber diet,fruits,vegetables,whole grains,hydration
Heart Attack,low fat diet,whole grains,fruits,vegetables,omega 3 foods
Varicose Veins,high fiber diet,fruits,vegetables,hydration,low salt diet
Hypothyroidism,iodine rich foods,whole grains,vegetables,fruits,lean protein
Hyperthyroidism,high calorie diet,protein rich foods,calcium foods,vegetables,hydration
Hypoglycemia,frequent meals,complex carbs,fruits,protein rich foods,hydration
Osteoarthristis,calcium rich foods,vitamin d foods,leafy greens,nuts,hydration
Arthritis,anti inflammatory diet,omega 3 foods,vegetables,fruits,hydration
(vertigo) Paroymsal  Positional Vertigo,low salt diet,hydration,fruits,vegetables,avoid caffeine
Acne,low sugar diet,fruits,vegetables,hydration,avoid oily foods
Urinary Tract Infection,cranberry juice,hydration,fruits,vegetables,probiotics
Psoriasis,anti inflammatory diet,fruits,vegetables,whole grains,hydration
Impetigo,balanced diet,fruits,vegetables,hydration,protein rich foods
