Disease,Workout_1,Workout_2,Workout_3,Workout_4
Fungal infection,light walking,yoga,stretching,avoid sweating
Allergy,breathing exercises,light yoga,walking,avoid dust exposure
GERD,walking,yoga,avoid heavy exercise,post meal walk
Chronic Cholestasis,light walking,yoga,stretching,avoid fatigue
Drug Reaction,rest,light stretching,avoid heavy exercise,hydration
Peptic ulcer diseae,light yoga,walking,avoid stress,breathing exercises
AIDS,light exercise,yoga,walking,rest
Diabetes,walking,yoga,light cardio,strength training
Gastroenteritis,rest,light stretching,avoid exercise,hydration
Bronchial Asthma,breathing exercises,yoga,light walking,avoid cold air
Hypertension,walking,yoga,meditation,light cardio
Migraine,yoga,meditation,light stretching,rest
Cervical Spondylosis,neck exercises,yoga,stretching,posture correction
Paralysis (brain hemorrhage),physiotherapy,assisted walking,stretching,rehabilitation
Paralysis (brain hemorrhage),physiotherapy,assisted walking,stretching,rehabilitation
Jaundice,rest,light yoga,avoid exertion,hydration
Malaria,rest,light walking,avoid heavy exercise,hydration
Chicken pox,rest,avoid exercise,light stretching,hydration
Dengue,rest,light stretching,avoid exercise,hydration
Typhoid,rest,light walking,avoid heavy exercise,hydration
Hepatitis A,rest,light yoga,avoid heavy exercise,hydration
Hepatitis B,light walking,yoga,rest,hydration
Hepatitis C,light exercise,yoga,stretching,hydration
Tuberculosis,breathing exercises,walking,light yoga,rest
Common Cold,rest,light walking,breathing exercises,hydration
Pneumonia,breathing exercises,rest,light walking,hydration
Heart Attack,cardiac rehab,walking,yoga,meditation
Varicose Veins,leg elevation,walking,stretching,avoid standing long
Hypothyroidism,walking,yoga,strength training,cardio
Hyperthyroidism,light yoga,walking,avoid heavy exercise,meditation
Hypoglycemia,light exercise,walking,yoga,regular activity
Osteoarthristis,low impact exercise,walking,yoga,stretching
Arthritis,yoga,stretching,walking,light exercise
(vertigo) Paroymsal  Positional Vertigo,balance exercises,yoga,walking,avoid sudden movement
Acne,light exercise,yoga,hydration,avoid sweating excess
Urinary Tract Infection,rest,light walking,hydration,avoid exertion
Psoriasis,yoga,meditation,light exercise,hydration
Hepatitis D,light walking,breathing exercises,adequate rest,avoid heavy workouts
Hepatitis E,light walking,yoga,adequate rest,avoid strenuous activity
Alcoholic hepatitis,gentle stretching,light walking,breathing exercises,avoid intense exercise
Impetigo,light activity,avoid sweating,maintain hygiene during exercise,rest if irritation occurs
Dimorphic hemmorhoids(piles),walking,yoga (pavanamuktasana),avoid prolonged sitting,pelvic floor exercises
