Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,keep area dry,maintain hygiene,avoid tight clothes,use antifungal powder
Allergy,avoid allergens,keep surroundings clean,use mask,take medication
GERD,avoid spicy food,eat small meals,avoid lying after eating,reduce caffeine
Chronic Cholestasis,avoid fatty food,limit alcohol,regular checkup,healthy diet
Drug Reaction,stop medication,consult doctor,avoid allergens,monitor symptoms
Peptic ulcer diseae,avoid spicy food,reduce stress,avoid alcohol,eat balanced diet
AIDS,maintain hygiene,healthy diet,regular checkup,avoid infections
Diabetes,monitor sugar,healthy diet,exercise regularly,avoid sweets
Gastroenteritis,drink clean water,avoid outside food,maintain hygiene,stay hydrated
Bronchial Asthma,avoid dust,avoid cold air,use inhaler,monitor breathing
Hypertension,reduce salt,exercise regularly,avoid stress,monitor bp
Migraine,avoid triggers,reduce screen time,proper sleep,stay hydrated
Cervical Spondylosis,maintain posture,avoid heavy lifting,exercise neck,use support pillow
Paralysis (brain hemorrhage),regular physiotherapy,maintain hygiene,proper care,balanced diet
Jaundice,avoid alcohol,rest well,healthy diet,drink fluids
Malaria,use mosquito nets,avoid stagnant water,wear full clothes,consult doctor
Chicken pox,avoid scratching,maintain hygiene,rest well,stay isolated
Dengue,avoid mosquitoes,drink fluids,rest well,monitor platelets
Typhoid,drink clean water,avoid street food,maintain hygiene,complete medication
Hepatitis A,avoid alcohol,healthy diet,maintain hygiene,rest well
Hepatitis B,avoid alcohol,regular checkup,healthy diet,prevent infection
Hepatitis C,avoid alcohol,regular monitoring,healthy diet,medical care
Tuberculosis,cover mouth,complete medication,avoid crowd,maintain hygiene
Common Cold,avoid cold exposure,rest well,drink fluids,maintain hygiene
Pneumonia,complete antibiotics,rest well,monitor breathing,stay warm
Heart Attack,avoid stress,healthy diet,regular checkup,exercise moderately
Varicose Veins,avoid standing long,elevate legs,wear compression stockings,exercise
Hypothyroidism,take medication,balanced diet,regular checkup,exercise
Hyperthyroidism,avoid stress,balanced diet,regular checkup,limit iodine
Hypoglycemia,eat regularly,carry sugar snacks,monitor sugar,avoid fasting
Osteoarthristis,avoid heavy load,exercise regularly,maintain weight,use support
Arthritis,exercise regularly,maintain weight,avoid strain,use support
(vertigo) Paroymsal  Positional Vertigo,avoid sudden movement,stay hydrated,rest well,consult doctor
Acne,avoid oily food,maintain hygiene,drink water,avoid touching face
Urinary Tract Infection,drink water,maintain hygiene,avoid holding urine,consult doctor
Psoriasis,avoid stress,maintain skin care,healthy diet,avoid triggers
Hepatitis D,avoid alcohol,regular medical checkup,maintain hygiene,balanced diet
Hepatitis E,drink clean water,avoid outside food,maintain hygiene,adequate rest
Alcoholic hepatitis,stop alcohol consumption,balanced diet,regular monitoring,vitamin supplementation
Impetigo,maintain skin hygiene,avoid touching lesions,use clean towels,avoid close contact
Dimorphic hemmorhoids(piles),high fiber diet,drink plenty of water,avoid straining during bowel movements,regular exercise
